Test,Kernel,Type,Batch,Heads,SeqLen,HeadDim,Status,MaxError,MeanError,MSE,MaxRelError,KernelTime_ms,TorchTime_ms,Speedup,TFLOPS,Bandwidth_GBps,ErrorMessage
Small-1,NAIVE,FOR,1,1,128,64,PASS,4.172325e-07,7.062772e-08,8.2820036e-15,7.926763e-07,0.0496832013130188,1.7514228820800781,35.251812197962,0.08442096904292962,2.6381552825915504,
Small-1,PYTORCH CPU,FOR,1,1,128,64,PASS,0.0,0.0,0.0,0.0,1.7514228820800781,1.7514228820800781,1.0,0.002394797991344405,0.07483743722951267,
Small-1,PYTORCH GPU,FOR,1,1,128,64,PASS,0.0,0.0,0.0,0.0,0.17118453979492188,1.7514228820800781,10.231197771587743,0.02450165187244568,0.7656766210139275,
Small-1,NAIVE-ATTN,FOR,1,1,128,64,PASS,4.7683716e-07,7.52334e-08,1.0666815e-14,9.574316e-07,0.5338079929351807,0.20813941955566406,0.3899143930220956,0.007857327082978517,0.24554147134307866,
Small-1,FA2,FOR,1,1,128,64,PASS,4.172325e-07,6.921255e-08,7.975933e-15,7.926763e-07,0.03406400084495544,0.19693374633789062,5.7812864447205605,0.12313010497770513,3.8478157805532853,
Small-2,NAIVE,FOR,2,4,256,64,PASS,3.5762787e-07,5.8195155e-08,5.7118413e-15,7.1126505e-07,0.09646400213241577,0.8361339569091797,8.667833994295838,1.391376316895497,21.740254951492137,
Small-2,PYTORCH CPU,FOR,2,4,256,64,PASS,0.0,0.0,0.0,0.0,0.8361339569091797,0.8361339569091797,1.0,0.1605218002341922,2.508153128659253,
Small-2,PYTORCH GPU,FOR,2,4,256,64,PASS,0.0,0.0,0.0,0.0,0.1087188720703125,0.8361339569091797,7.690789473684211,1.234539371537965,19.2896776802807,
Small-2,NAIVE-ATTN,FOR,2,4,256,64,PASS,8.34465e-07,1.3789327e-07,3.044336e-14,1.6113786e-06,2.3745567321777346,0.3459453582763672,0.14568839463317287,0.056523277031544035,0.8831762036178755,
Small-2,FA2,FOR,2,4,256,64,PASS,3.5762787e-07,5.7372517e-08,5.5449284e-15,7.1126505e-07,0.06273919939994813,0.2853870391845703,4.548783566160812,2.139296154297292,33.42650241089519,
Small-3,NAIVE,FOR,2,8,256,64,PASS,3.5762787e-07,5.853724e-08,5.763873e-15,7.229052e-07,0.09646720290184022,1.312255859375,13.603129560108426,2.7826603024153744,43.47906722524023,
Small-3,PYTORCH CPU,FOR,2,8,256,64,PASS,0.0,0.0,0.0,0.0,1.312255859375,1.312255859375,1.0,0.20456030284204652,3.1962547319069765,
Small-3,PYTORCH GPU,FOR,2,8,256,64,PASS,0.0,0.0,0.0,0.0,0.1385211944580078,1.312255859375,9.473321858864027,1.9378655883694045,30.279149818271947,
Edge-SmallSeq,NAIVE,FOR,8,16,32,64,PASS,4.172325e-07,6.0006755e-08,6.0715017e-15,8.3167106e-07,0.014892800152301789,0.2541542053222656,17.065575494409913,2.2530640079000808,281.63300098751006,
Edge-SmallSeq,PYTORCH CPU,FOR,8,16,32,64,PASS,0.0,0.0,0.0,0.0,0.2541542053222656,0.2541542053222656,1.0,0.13202391027704316,16.502988784630393,
Edge-SmallSeq,PYTORCH GPU,FOR,8,16,32,64,PASS,0.0,0.0,0.0,0.0,0.0782012939453125,0.2541542053222656,3.25,0.4290777084003903,53.63471355004878,
Small-3,NAIVE-ATTN,FOR,2,8,256,64,PASS,7.748604e-07,1.3480758e-07,2.9046305e-14,1.5165606e-06,2.3673376083374023,0.5571842193603516,0.23536322719583117,0.11339128608214191,1.7717388450334672,
Edge-SmallSeq,NAIVE-ATTN,FOR,8,16,32,64,PASS,3.5762787e-07,3.9990482e-08,3.3899275e-15,7.7085946e-07,0.037084800004959104,0.2589225769042969,6.98190570987771,0.9048028301490905,113.10035376863631,
Small-3,FA2,FOR,2,8,256,64,PASS,3.5762787e-07,5.791253e-08,5.6452916e-15,7.229052e-07,0.0633791983127594,0.5428791046142578,8.565572286593063,4.235387369138731,66.17792764279268,
Edge-SmallSeq,FA2,FOR,8,16,33,64,PASS,2.9802322e-07,4.9862365e-08,4.3205524e-15,5.9507596e-07,0.010819199681282043,0.2391338348388672,22.102728656777185,3.1013783818087277,387.67229772609096,
Medium-1,NAIVE,FOR,2,8,512,64,PASS,3.874302e-07,6.491172e-08,6.973248e-15,7.9542434e-07,0.30126080513000486,2.8574466705322266,9.484959947906717,3.564160374386047,27.84500292489099,
Medium-1,PYTORCH CPU,FOR,2,8,512,64,PASS,0.0,0.0,0.0,0.0,2.8574466705322266,2.8574466705322266,1.0,0.37576968104885244,2.9357006331941595,
Medium-1,PYTORCH GPU,FOR,2,8,512,64,PASS,0.0,0.0,0.0,0.0,0.1163482666015625,2.8574466705322266,24.559426229508198,9.228687761005116,72.09912313285247,
Medium-1,NAIVE-ATTN,FOR,2,8,513,64,PASS,1.1324883e-06,1.8882139e-07,5.653833e-14,2.240351e-06,9.577974700927735,1.9145011901855469,0.19988580571215184,0.11210531010235347,0.8758227351746365,
Medium-1,FA2,FOR,2,8,512,64,PASS,4.172325e-07,6.461602e-08,6.912895e-15,8.318058e-07,0.1438655972480774,1.9080638885498047,13.262822558332678,7.463506526501069,58.3086447382896,
Edge-NonPowerOf2,NAIVE,FOR,8,16,100,64,PASS,5.364418e-07,6.8534355e-08,7.798454e-15,9.783241e-07,0.11726720333099365,0.6926059722900391,5.906220602320647,2.7943021637098626,111.77208654839451,
Edge-NonPowerOf2,PYTORCH CPU,FOR,8,16,100,64,PASS,0.0,0.0,0.0,0.0,0.6926059722900391,0.6926059722900391,1.0,0.47311171591049916,18.924468636419963,
Edge-NonPowerOf2,PYTORCH GPU,FOR,8,16,100,64,PASS,0.0,0.0,0.0,0.0,0.08845329284667969,0.6926059722900391,7.830188679245283,3.704554001940701,148.18216007762803,
Edge-NonPowerOf2,NAIVE-ATTN,FOR,8,16,100,64,PASS,5.9604645e-07,6.1093964e-08,7.234447e-15,1.1093564e-06,0.31394879817962645,0.9980201721191406,3.1789265571519127,1.0437370740069443,41.74948296027778,
Edge-NonPowerOf2,FA2,FOR,8,16,100,64,PASS,5.364418e-07,6.620809e-08,7.2903855e-15,9.783241e-07,0.06818240284919738,0.8740425109863281,12.819180235103977,4.805932121881172,192.23728487524684,
Medium-2,NAIVE,FOR,4,8,512,64,PASS,4.172325e-07,6.4766624e-08,6.966208e-15,8.295914e-07,0.6150144100189209,6.377220153808594,10.369220704296016,3.491761514878867,27.27938683499115,
Medium-2,PYTORCH CPU,FOR,4,8,512,64,PASS,0.0,0.0,0.0,0.0,6.377220153808594,6.377220153808594,1.0,0.336742906188911,2.6308039546008675,
Medium-2,PYTORCH GPU,FOR,4,8,512,64,PASS,0.0,0.0,0.0,0.0,0.29158592224121094,6.377220153808594,21.870809484873263,7.364839946640223,57.53781208312674,
Large-1,NAIVE,FOR,2,8,1024,64,PASS,4.172325e-07,6.7097005e-08,7.438921e-15,8.1872486e-07,1.294051170349121,15.503883361816406,11.98088894555354,3.319008857154593,12.964878348260129,
Large-1,PYTORCH CPU,FOR,2,8,1024,64,PASS,0.0,0.0,0.0,0.0,15.503883361816406,15.503883361816406,1.0,0.27702525849606296,1.082129916000246,
Large-1,PYTORCH GPU,FOR,2,8,1024,64,PASS,0.0,0.0,0.0,0.0,0.3516674041748047,15.503883361816406,44.08677966101695,12.213151531852194,47.707623171297634,
Medium-2,NAIVE-ATTN,FOR,4,8,512,64,PASS,1.3113022e-06,1.8937533e-07,5.686207e-14,2.4128183e-06,9.706371307373047,6.457328796386719,0.6652670284189184,0.22124474533224914,1.7284745729081965,
Large-1,NAIVE-ATTN,FOR,2,8,1024,64,PASS,1.5497208e-06,2.6237143e-07,1.0867568e-13,3.0830915e-06,38.0732177734375,17.01211929321289,0.4468264120581297,0.11280809837398259,0.4406566342733695,
Medium-2,FA2,FOR,4,8,512,64,PASS,3.874302e-07,6.4487324e-08,6.9116465e-15,8.0437746e-07,0.29368319511413576,8.208751678466797,27.95104321606343,7.312245588874812,57.12691866308447,
Large-1,FA2,FOR,2,8,1024,64,PASS,4.172325e-07,6.705429e-08,7.428126e-15,8.2165286e-07,0.6766208171844482,16.937971115112305,25.03318060120367,6.347672414029766,24.795595367303775,
Large-2,NAIVE,FOR,4,12,1024,64,PASS,4.4703484e-07,6.7368894e-08,7.4931076e-15,9.12684e-07,2.902617645263672,49.55697059631348,17.073199660719265,4.439062757378622,17.340088896010244,
Large-2,PYTORCH CPU,FOR,4,12,1024,64,PASS,0.0,0.0,0.0,0.0,49.55697059631348,49.55697059631348,1.0,0.2600018066673047,1.0156320572941588,
Large-2,PYTORCH GPU,FOR,4,12,1024,64,PASS,0.0,0.0,0.0,0.0,1.1148452758789062,49.55697059631348,44.451881950384944,11.557569616861837,45.146756315866554,
Large-2,NAIVE-ATTN,FOR,4,12,1024,64,PASS,1.66893e-06,2.6240386e-07,1.0852663e-13,3.3990354e-06,49.970892333984374,50.48656463623047,1.0103194535490694,0.2578481449136979,1.0072193160691325,
Large-2,FA2,FOR,4,12,1024,64,PASS,4.4703484e-07,6.729658e-08,7.476291e-15,9.12684e-07,1.2835007667541505,49.419403076171875,38.50360230103234,10.03887354160658,39.2143497719007,
Stress-1,NAIVE,FOR,8,16,2048,64,PASS,5.364418e-07,7.973132e-08,1.03587945e-14,1.0720217e-06,28.651937866210936,506.2079429626465,17.667494091546757,4.796846695457934,9.368841202066278,
Stress-1,PYTORCH CPU,FOR,8,16,2048,64,PASS,0.0,0.0,0.0,0.0,506.2079429626465,506.2079429626465,1.0,0.27150690814454825,0.5302869299698209,
Stress-1,PYTORCH GPU,FOR,8,16,2048,64,PASS,0.0,0.0,0.0,0.0,12.74561882019043,506.2079429626465,39.716231130398995,10.78323111736889,21.060998276111114,
Stress-1,NAIVE-ATTN,FOR,8,16,2048,64,PASS,2.503395e-06,3.6299417e-07,2.0741002e-13,5.0250687e-06,209.5142333984375,496.9184398651123,2.3717645899508524,0.6559886230289163,1.281227779353352,
Stress-1,FA2,FOR,8,16,2048,64,PASS,5.364418e-07,7.9711924e-08,1.0350606e-14,1.0660588e-06,11.617632293701172,497.7884292602539,42.84766608856643,11.830203435386435,23.10586608473913,
